questions,answers
Would like to start planting veg/herbs. Advice for beginner?   ,"To use premix soil. Herbs e.g.. Mint, basil. Veg e.g.. Kankong , sweet potato leaf. Start with common NPK fertilizer once in 2 weeks, watering system.  "
Yellow edges  Yellow edges ,"Too hot under watered, overwatered. "
Yellow leaves  Yellowing leaves ,Nitrogen fertilizer 
Yellow leaves on newly transplanted plants   Yellowing leaves ,Plant in stock. Water regularly until established. 
ZZ Plant    ,May be due to fertilizer born. 
  White stuff under leaves ,Apply neem oil   
  Wilting plant ,Do not over water the plant. 
   ,Seek for advice to get fragrant plant. Semi shade- may refer to FFW. 
Brown spots on leaves Dracaena Brown spots with halos on leaf tip and edges Fusarium ?,Brown spots with halos could be fungal diesease. Apply homemade fungicide weekly and monitor  DIY Baking Soda Mixture (Fungicide)
What kind of materials can he use for fertilizer for plants? How about dog poop?? ]  ,"Banana peel, coffee ground, eggshells may be beneficial. 
Raw dog feces may contain high nitrogen and protein which could lead to root burn. Besides, harmful parasitic pathogens may be contained. Dog feces can be used for non-food plants if properly composted.  "
"Bayam with white spots and holes Bayam A winding trail of white spots, chewed holes spider mites","Spider mites, maybe beetles >> use an extra layer of netting directly over the plants, the larger overarching netting may have holes chewed by squirrels, material should be porous to prevent overheating; spray with lime sulfur lime sulfur"
Anthurium luxurians: The tuber had only 1 leaf which dropped off Anthurium luxurians Leaf fell off ,"Change ziplock bag to a larger size, try not to disturb plant, next time use 3 parts perlite and 1 part compost, don't fertilise, use a humidity meter to check humidity  of the room "
How to treat an orchid with mealy bugs?  Orchid  ,"Thoroughly spray the plant with Neem Oil, White Summer Oil or spinosads "
Interested to learn edible gardening   ,"Suggested her to join Community-in-Bloom garden, explore FFW and watch Nparks' Gardening with Edibles Masterclass Series on YouTube "
Monstera with yellowing/ brown leaf tips Monstera obliqua  ,The roots may have been damaged during re-potting. It may have restricted water flow to the leaf tips. Shelter the plant from lots of wind. 
Desert rose with yellowing leaves Desert rose yellowing leaves ,It might be getting too much or too little water. 
My airplant has spots on the leaves  Tillandsia xerographica hybrid leaf spot ,It likely has a fungal disease. You can spray or soak the plant in a fungicide like Mancozeb. Mancozeb
"My orchid is struggling from neglect likely Phalaenopsis shrivelled roots, leaves should be more open, less folded ",Orchid needs to be re-potted in orchid mix. Cut off the shrivelled roots. Water regularly. Place the plant in a pot half the current size. 
How can I make my Episcia look more bushy? Episcia  ,Put it in a smaller pot. Cut offshoots and put in soil. 
Desert rose ID   , 
Why doesn't my Desert Rose flower? Desert rose  ,"needs full sun, don't fertilise when the plant is stressed "
Ficus religiosa id   , 
Ficus lyrata doesn't grow well. ficus lyrata  ,"take a stem cutting, root in water "
Why does Coleus scutellaroides cv. grow so tall? coleus scutellaroides cv.  ,"growing very tall bc not enough light, so take stem cutting and propagate "
How to treat pests on Habanero pepper? Habanero pepper  ,"whiteflies, soil contaminated with bacteria, sticky paper to keep adults from mating, spray neem oil and pyrethrin under the leaf "
When I squeeze white insects on my plants there is red fluid coming out. What pest is that?   ,Could be Mealybugs.  
Why doesn't my orchid flower? Orchid  ,"it takes time to get enough reserve to flower, reduce watering to stimulate light stress, for Dendrobium little water or changing location can stimulates flowering, it will takes 3-4 months; organic fertiliser pellets (ex., goat dung - use a small amount bc it can be smelly) "
lucky bamboo   ,"use mosquito pellets, try not to disturb roots "
staghorn fern - is the leaf old   ,"the leaf is okay, just old; plant mounting not stable, mount in a flatter and more shallow pot after the young frond expands  "
Why are the leaves of a desert rose plant falling off? desert rose  ,"leaves fall off under stress (not enough light, too much water) "
Monstera plant has a root coming out of the pot. Is it normal?   ,"It's fine, natural habit of plant "
Aglaonema pictum Tricolor with 2 yellow leaves   ,Unpot and grow in water or gel for roots to establish; cut off the flower to save reserve for leaf recovery 
Anthurium doesn't produce many leaves   ,Try not to change the location of the plant or rotate the plant 
How to water a Staghorn fern?  Staghorn fern   ,water from the bottom or uncover the top layer and water 
staghorn fern in kokedama drying Staghorn fern  dry ,"soak kokedama in water for about 10 minutes, then air to dry, water every 2-3 days  "
mint propagation mint  ,"stem cutting of at least 3 nodes, remove leaves. "
"aeschynanthus leaves turning yellow, black and drop off aeschynanthus  ","check the soil, cut off rotten roots, hang where plant can receive good ventilation.  "
